market,line,outcome,BetPawa,SportyBet,MSport,Betway,Bet9ja
1X2 - Full Time,,away,19.0,17.5,17.5,14.0,18.0
1X2 - Full Time,,draw,5.5,4.7,4.7,4.5,4.8
1X2 - Full Time,,home,1.22,1.27,1.27,1.25,1.29
Both Teams To Score - Full Time,,no,1.51,1.6,1.6,1.65,1.61
Both Teams To Score - Full Time,,yes,2.39,2.35,2.35,2.25,2.38
Double Chance - Full Time,,draw_away,4.33,3.7,3.7,1.15,3.8
Double Chance - Full Time,,home_away,1.12,1.18,1.18,3.4,1.2
Double Chance - Full Time,,home_draw,1.02,1.01,1.01,0.0,1.02
Over/Under - Full Time,1.5,over,1.35,1.37,1.37,1.35,1.39
Over/Under - Full Time,1.5,under,3.0,3.05,3.05,3.1,3.1
Over/Under - Full Time,2.0,over,,1.85,,,
Over/Under - Full Time,2.0,under,,2.0,,,
Over/Under - Full Time,2.5,over,2.75,2.8,2.8,2.55,2.86
Over/Under - Full Time,2.5,under,1.45,1.45,1.45,1.47,1.45
Over/Under - Full Time,3.0,over,,5.7,,,
Over/Under - Full Time,3.0,under,,1.14,,,
Over/Under - Full Time,3.5,over,7.5,7.0,7.0,5.9,7.2
Over/Under - Full Time,3.5,under,1.09,1.1,1.1,1.1,1.11
Over/Under - Full Time,4.0,over,,15.0,,,
Over/Under - Full Time,4.0,under,,1.02,,,
Over/Under - Full Time,4.5,over,19.82,15.5,15.5,11.5,17.5
Over/Under - Full Time,4.5,under,1.01,1.02,1.02,1.02,1.02
Over/Under - Full Time,5.0,over,,19.5,,,
Over/Under - Full Time,5.0,under,,1.01,,,
Over/Under - Full Time,5.5,over,,19.5,,14.0,24.0
Over/Under - Full Time,5.5,under,,1.01,,0.0,1.0
Over/Under - Full Time,6.0,over,,20.0,,,
Over/Under - Full Time,6.0,under,,0.0,,,
